10 
 : 111011
32   : 110
33 ! : 1111110010
34 " : 111001110
36 $ : 1110011111011000000
38 & : 1110011111011000001
39 ' : 111001101
40 ( : 1110011111001
41 ) : 1110011111010
42 * : 011011110111111
44 , : 100110
45 - : 01100011
46 . : 11111101
48 0 : 11100111110111
49 1 : 0110111101010
50 2 : 111001111101101
51 3 : 111001100011100
52 4 : 011011110111110
53 5 : 111001100011111
54 6 : 011011110111100
55 7 : 111001100011110
56 8 : 111001100011101
57 9 : 1110011111011001
58 : : 1110011111000
59 ; : 01101110
63 ? : 0110001011
65 A : 111001001
66 B : 1110010111
67 C : 0110111100
68 D : 11100101101
69 E : 11100111111
70 F : 11100110010
71 G : 11100100000
72 H : 1110010101
73 I : 111111000
74 J : 011011110100
75 K : 0110111101110
76 L : 11100110011
77 M : 11100110000
78 N : 0110001000
79 O : 11100111100
80 P : 0110001010
81 Q : 111001100010
82 R : 11100101100
83 S : 1111110011
84 T : 011011111
85 U : 1110011000110
86 V : 0110111101011
87 W : 1110010001
88 X : 11100111110110001
89 Y : 011011110110
90 Z : 011011110111101
91 [ : 1110011111011000010
93 ] : 1110011111011000011
97 a : 1000
98 b : 1111111
99 c : 111000
100 d : 10010
101 e : 000
102 f : 100111
103 g : 101000
104 h : 0010
105 i : 0011
106 j : 11100111101
107 k : 0110000
108 l : 10101
109 m : 111010
110 n : 0101
111 o : 0111
112 p : 011001
113 q : 1110010100
114 r : 11110
115 s : 0100
116 t : 1011
117 u : 111110
118 v : 0110110
119 w : 101001
120 x : 0110001001
121 y : 011010
122 z : 11100100001
