10 
 : 101110
32   : 110
34 " : 00010011011100
40 ( : 1010100000110
41 ) : 0001001101111
44 , : 000111
45 - : 010010000
46 . : 10110100
47 / : 10101000001111
48 0 : 0001001101100
49 1 : 0001001110
50 2 : 0001000001
51 3 : 00010000001
52 4 : 101010000010
53 5 : 000100000001
54 6 : 1011000111001
55 7 : 1011000111000
56 8 : 0001000000001
57 9 : 0001000000000
58 : : 101100011101
59 ; : 101010011
65 A : 00010001
66 B : 1010100010
67 C : 10111100
68 D : 1010100001
69 E : 1011010101
70 F : 00010011010
71 G : 10101000000
72 H : 1011000001
73 I : 1011010100
74 J : 1011000000
75 K : 00010011011101
76 L : 010010001
77 M : 000100101
78 N : 000100100
79 O : 1011010110
80 P : 10111101
81 Q : 0001001101101
82 R : 101010010
83 S : 0100101
84 T : 01001001
85 U : 101100001
86 V : 000100001
87 W : 0001001111
89 Y : 10110001111
91 [ : 101010000011100
93 ] : 101010000011101
97 a : 0101
98 b : 000110
99 c : 111100
100 d : 01000
101 e : 011
102 f : 111101
103 g : 1011011
104 h : 11111
105 i : 0011
106 j : 1011010111
107 k : 1011000110
108 l : 10100
109 m : 010011
110 n : 1000
111 o : 1001
112 p : 000101
113 q : 1010100011
114 r : 0000
115 s : 0010
116 t : 1110
117 u : 101011
118 v : 1011001
119 w : 1010101
120 x : 101100010
121 y : 1011111
122 z : 0001001100
