10 
 : 111100
32   : 110
33 ! : 1110100101
34 " : 11110110
35 # : 01011000001001010010
36 $ : 01011000001001010111
37 % : 01011000001001010011
39 ' : 111010001
40 ( : 010110011110
41 ) : 010110011101
42 * : 0101100000110
44 , : 010101
45 - : 010110101
46 . : 1110101
47 / : 0101100000100100
48 0 : 01011001110001
49 1 : 1000111001100
50 2 : 01011001110000
51 3 : 010110000010001
52 4 : 01011000001001011
53 5 : 1000111001101101
54 6 : 010110000010000
55 7 : 1000111001101100
56 8 : 10001110011010
57 9 : 0101100000100110
58 : : 01011000000
59 ; : 01011001000
61 = : 0101100000100101000
63 ? : 1000111000
64 @ : 01011000001001010110
65 A : 010110111
66 B : 1000111101
67 C : 10001111110
68 D : 11101001101
69 E : 10001111111
70 F : 11101001100
71 G : 01011001011
72 H : 1110100111
73 I : 111010000
74 J : 0101100000111
75 K : 01011001001
76 L : 010110011111
77 M : 1000111100
78 N : 1000111110
79 O : 10001110010
80 P : 010110110
81 Q : 0101100000100111
82 R : 0101100110
83 S : 0101101001
84 T : 100011101
85 U : 0101100000101
86 V : 100011100111
87 W : 0101101000
88 X : 0101100111001
89 Y : 01011001010
90 Z : 100011100110111
91 [ : 01011000001001010100
93 ] : 01011000001001010101
97 a : 1001
98 b : 1111010
99 c : 111001
100 d : 10111
101 e : 000
102 f : 101100
103 g : 100010
104 h : 0011
105 i : 0100
106 j : 0101100001
107 k : 11110111
108 l : 10000
109 m : 111000
110 n : 0110
111 o : 0111
112 p : 010100
113 q : 0101100011
114 r : 11111
115 s : 0010
116 t : 1010
117 u : 111011
118 v : 1000110
119 w : 101101
120 x : 1110100100
121 y : 010111
122 z : 0101100010
